vraag;antwoord
Hoe heet men een kruiswoordraadsel zonder zwarte hokjes?;Doorloper
Hoe heet het als je 60 jaar getrouwd bent?;Diamanten huwelijk
Hoe heet het als je 50 jaar getrouwd bent?;Gouden huwelijk
In welke militaire vestiging ligt de Amerikaanse goudreserve opgeslagen?;Fort Knox
Welke vrijdagen brengen ongeluk?;Vrijdag de dertiende
Waar komt een auto vandaan met de letters CH?;Zwitserland
Als u uw muren laat isoleren dan wordt meestal de ruimte tussen uw buiten- en binnenmuur geïsoleerd. Deze open ruimte voorkomt vochtdoorslag van buiten naar binnen en heeft ook een isolerende functie. Hoe heet deze ruimte tussen de beide muren?;Spouw
Dit is de hoogste berg van Japan waarnaar ook een producent opgericht in 1934 van film en cameramateriaal is genoemd. Over welk bedrijf hebben we het hier?;Fujifilm
Het World Wide Fund for Nature (WWF) – waarvan de Nederlandse tak Wereld Natuur Fonds (WNF) heet en de Amerikaanse World Wildlife Fund – is een wereldwijd opererende organisatie voor bescherming van de natuur. Welk dier is het symbool van deze organisatie?;Panda
4C) “Ik moest kloppen, want de bel doet het niet”, één van de vaakst gebruikte zinnen in Samson en Gert. Onze vraag is heel simpel. Op welk huisnummer was dat?;101
Wat was Pinocchio's vaders naam?;Gepetto
Hoe schrijf je 4.444 in Romeinse cijfers?;MMMMCDXLIV
Wat is de tegenpool van ying?;Yang
